,0
F2S4_150422_002_A01,1204630
F2S4_150422_002_B01,1259862
F2S4_150422_002_C01,1128827
F2S4_150422_002_D01,879874
F2S4_150422_002_E01,1117094
F2S4_150422_002_F01,1184848
F2S4_150422_002_G01,1012153
F2S4_150422_002_H01,1165616
F2S4_150427_001_A01,1101849
F2S4_150427_001_B01,1941260
F2S4_150427_001_C01,1315919
F2S4_150427_001_D01,1033703
F2S4_150427_001_E01,1201474
F2S4_150427_001_F01,1241132
F2S4_150427_001_G01,1241938
F2S4_150427_001_H01,1207880
F2S4_150428_001_A01,1848857
F2S4_150428_001_B01,1294507
F2S4_150428_001_C01,1761578
F2S4_150428_001_D01,1238403
F2S4_150428_001_E01,1592324
F2S4_150428_001_F01,1172728
F2S4_150428_001_G01,1853741
F2S4_150428_001_H01,1303915
F2S4_150430_003_A01,1132122
F2S4_150430_003_B01,1271047
F2S4_150430_003_C01,1389012
F2S4_150430_003_D01,1135575
F2S4_150430_003_E01,823060
F2S4_150430_003_F01,1413159
F2S4_150430_003_G01,1172842
F2S4_150430_003_H01,1261042
F2S4_150427_009_A01,1143234
F2S4_150427_009_B01,1569415
F2S4_150427_009_C01,1576451
F2S4_150427_009_D01,1054435
F2S4_150427_009_E01,1651110
F2S4_150427_009_F01,1305884
F2S4_150427_009_G01,1079338
F2S4_150427_009_H01,1309303
F2S4_150428_003_A01,1218571
F2S4_150428_003_B01,1706636
F2S4_150428_003_C01,1077882
F2S4_150428_003_D01,998381
F2S4_150428_003_E01,1047898
F2S4_150428_003_G01,2174797
F2S4_150428_003_H01,1371624
F2S4_150429_003_A01,2211119
F2S4_150429_003_B01,1971912
F2S4_150429_003_C01,1536370
F2S4_150429_003_D01,1432671
F2S4_150429_003_E01,1967790
F2S4_150429_003_F01,1937235
F2S4_150429_003_G01,2438561
F2S4_150429_003_H01,1786042
F2S4_150430_010_A01,1071819
F2S4_150430_010_B01,1850963
F2S4_150430_010_C01,2201951
F2S4_150430_010_D01,1273179
F2S4_150430_010_E01,1887223
F2S4_150430_010_F01,1966698
F2S4_150430_010_G01,2106216
F2S4_150430_010_H01,952783
F2S4_150430_012_A01,1295285
F2S4_150430_012_B01,1203062
F2S4_150430_012_C01,2021356
F2S4_150430_012_D01,1666507
F2S4_150430_012_E01,1275926
F2S4_150430_012_F01,1541008
F2S4_150430_012_G01,2003400
F2S4_150430_012_H01,805918
F2S4_150427_003_A01,699054
F2S4_150427_005_A01,784587
F2S4_150429_001_A01,372710
F2S4_150430_001_A01,396723
F2S4_150430_005_A01,621647
F2S4_150422_006_A01,619878
F2S4_150427_011_A01,654193
F2S4_150428_005_A01,773780
F2S4_150429_005_A01,666253
F2S4_150427_003_B01,734558
F2S4_150427_005_B01,766465
F2S4_150429_001_B01,852062
F2S4_150430_001_B01,690898
F2S4_150430_005_B01,877274
F2S4_150422_006_B01,784159
F2S4_150427_011_B01,740233
F2S4_150428_005_B01,763861
F2S4_150429_005_B01,677125
F2S4_150427_003_C01,773433
F2S4_150427_005_C01,837490
F2S4_150429_001_C01,229745
F2S4_150430_001_C01,750430
F2S4_150430_005_C01,789907
F2S4_150422_006_C01,943531
F2S4_150427_011_C01,644767
F2S4_150428_005_C01,433175
F2S4_150429_005_C01,672241
F2S4_150427_003_D01,820455
F2S4_150427_005_D01,785836
F2S4_150429_001_D01,346259
F2S4_150430_001_D01,726862
F2S4_150430_005_D01,684278
F2S4_150422_006_D01,436885
F2S4_150427_011_D01,1441243
F2S4_150428_005_D01,914854
F2S4_150429_005_D01,777430
F2S4_150427_003_E01,692813
F2S4_150427_005_E01,720752
F2S4_150429_001_E01,876898
F2S4_150430_001_E01,624887
F2S4_150430_005_E01,791704
F2S4_150422_006_E01,738778
F2S4_150427_011_E01,809880
F2S4_150428_005_E01,890612
F2S4_150429_005_E01,775697
F2S4_150427_003_F01,718211
F2S4_150427_005_F01,711850
F2S4_150429_001_F01,1022915
F2S4_150430_001_F01,901655
F2S4_150430_005_F01,837223
F2S4_150422_006_F01,740028
F2S4_150427_011_F01,903393
F2S4_150428_005_F01,1135309
F2S4_150429_005_F01,988719
F2S4_150427_003_G01,819169
F2S4_150427_005_G01,767018
F2S4_150429_001_G01,986180
F2S4_150430_001_G01,651826
F2S4_150430_005_G01,809764
F2S4_150422_006_G01,777660
F2S4_150427_011_G01,1002238
F2S4_150428_005_G01,1197982
F2S4_150429_005_G01,1585383
F2S4_150427_003_H01,828322
F2S4_150427_005_H01,996608
F2S4_150429_001_H01,1240329
F2S4_150430_001_H01,772468
F2S4_150430_005_H01,957355
F2S4_150422_006_H01,749709
F2S4_150427_011_H01,874138
F2S4_150428_005_H01,1410123
F2S4_150429_005_H01,467438
F2S4_151217_005_B01,1282648
F2S4_151217_005_C01,1129496
F2S4_151217_005_E01,1557742
F2S4_151217_005_F01,1306856
F2S4_151217_005_G01,1119824
F2S4_151217_005_H01,1346940
F2S4_151217_006_A01,1008321
F2S4_151217_006_B01,1114926
F2S4_151217_006_C01,1625453
F2S4_151217_006_D01,1452960
F2S4_151217_006_E01,1122238
F2S4_151217_006_F01,701520
F2S4_151217_006_G01,1149258
F2S4_151217_006_H01,1317629
F2S4_151217_009_A01,838088
F2S4_151217_009_B01,1231984
F2S4_151217_009_C01,1173474
F2S4_151217_009_D01,1290048
F2S4_151217_009_E01,1360133
F2S4_151217_009_F01,1557181
F2S4_151217_009_G01,1623491
F2S4_151217_009_H01,1292453
F2S4_151217_010_A01,1210438
F2S4_151217_010_B01,1223797
F2S4_151217_010_C01,800839
F2S4_151217_010_D01,979561
F2S4_151217_010_E01,459399
F2S4_151217_010_F01,1176879
F2S4_151217_010_G01,1324136
F2S4_151217_010_H01,1159375
F2S4_151217_013_A01,1549944
F2S4_151217_013_B01,1457848
F2S4_151217_013_C01,455039
F2S4_151217_013_D01,1478278
F2S4_151217_013_E01,1483391
F2S4_151217_013_F01,1683981
F2S4_151217_013_G01,1181482
F2S4_151217_013_H01,1217390
F2S4_151217_014_A01,1667787
F2S4_151217_014_B01,1300297
F2S4_151217_014_C01,1306264
F2S4_151217_014_D01,1369748
F2S4_151217_014_E01,1321281
F2S4_151217_014_F01,1537277
F2S4_151217_014_G01,1325607
F2S4_151217_014_H01,1367208
F2S4_151223_004_A01,1438609
F2S4_151223_004_B01,1089145
F2S4_151223_004_C01,1048815
F2S4_151223_004_D01,1034352
F2S4_151223_004_E01,1206832
F2S4_151223_004_F01,1244024
F2S4_151223_004_G01,1302691
F2S4_151223_004_H01,1027774
F2S4_151223_005_A01,1226130
F2S4_151223_005_B01,1204042
F2S4_151223_005_C01,1138389
F2S4_151223_005_D01,1440435
F2S4_151223_005_E01,1470743
F2S4_151223_005_F01,1620092
F2S4_151223_005_G01,1198517
F2S4_151223_005_H01,974761
F2S4_151223_006_A01,1032410
F2S4_151223_006_B01,1239692
F2S4_151223_006_C01,1634517
F2S4_151223_006_D01,1532837
F2S4_151223_006_E01,1551410
F2S4_151223_006_F01,1309396
F2S4_151223_006_G01,630956
F2S4_151223_006_H01,912537
F2S4_151223_015_A01,1683441
F2S4_151223_015_B01,1595578
F2S4_151223_015_C01,1362973
F2S4_151223_015_D01,1194615
F2S4_151223_015_E01,1529331
F2S4_151223_015_F01,1300113
F2S4_151223_015_G01,1079475
F2S4_151223_015_H01,1361725
F2S4_151223_016_A01,1514748
F2S4_151223_016_B01,1251101
F2S4_151223_016_C01,1297779
F2S4_151223_016_D01,1234245
F2S4_151223_016_E01,1344699
F2S4_151223_016_F01,1430448
F2S4_151223_016_G01,1380712
F2S4_151223_016_H01,1352154
F2S4_151217_007_A01,1516711
F2S4_151217_007_B01,853421
F2S4_151217_007_C01,1087807
F2S4_151217_007_D01,1025240
F2S4_151217_007_E01,1231464
F2S4_151217_007_F01,1189558
F2S4_151217_007_G01,737971
F2S4_151217_007_H01,1009171
F2S4_151217_008_A01,1215540
F2S4_151217_008_B01,1689610
F2S4_151217_008_C01,1173317
F2S4_151217_008_D01,814022
F2S4_151217_008_E01,1267794
F2S4_151217_008_F01,1397111
F2S4_151217_008_G01,1066924
F2S4_151217_008_H01,1542738
F2S4_151217_012_A01,1422010
F2S4_151217_012_B01,1500885
F2S4_151217_012_C01,1244606
F2S4_151217_012_D01,1971077
F2S4_151217_012_E01,1628864
F2S4_151217_012_F01,1207767
F2S4_151217_012_G01,992511
F2S4_151217_012_H01,1320994
F2S4_151223_001_A01,825233
F2S4_151223_001_B01,967805
F2S4_151223_001_C01,1117638
F2S4_151223_001_D01,1127292
F2S4_151223_001_E01,1165568
F2S4_151223_001_F01,1224313
F2S4_151223_001_G01,1144009
F2S4_151223_001_H01,1075614
F2S4_151223_009_A01,1185399
F2S4_151223_009_C01,1168882
F2S4_151223_009_D01,1140921
F2S4_151223_009_E01,1074003
F2S4_151223_009_F01,415845
F2S4_151223_009_G01,1399778
F2S4_151223_009_H01,1450580
F2S4_151223_010_A01,455515
F2S4_151223_010_B01,331039
F2S4_151223_010_C01,1006713
F2S4_151223_010_D01,1003012
F2S4_151223_010_E01,775581
F2S4_151223_010_F01,1355537
F2S4_151223_010_G01,978080
F2S4_151223_010_H01,869609
F2S4_151223_011_A01,1345383
F2S4_151223_011_B01,1118085
F2S4_151223_011_C01,1419915
F2S4_151223_011_D01,1071208
F2S4_151223_011_E01,1693722
F2S4_151223_011_F01,1320684
F2S4_151223_011_G01,1454657
F2S4_151223_011_H01,1342486
F2S4_151223_012_A01,1043422
F2S4_151223_012_B01,1134289
F2S4_151223_012_C01,1420408
F2S4_151223_012_D01,1419535
F2S4_151223_012_E01,1700493
F2S4_151223_012_F01,1336616
F2S4_151223_012_G01,1740717
F2S4_151223_012_H01,1776976
F2S4_151223_013_A01,1574100
F2S4_151223_013_B01,1441426
F2S4_151223_013_C01,1627999
F2S4_151223_013_D01,1460888
F2S4_151223_013_E01,1627115
F2S4_151223_013_F01,1603372
F2S4_151223_013_G01,1567294
F2S4_151223_013_H01,1269592
F2S4_151223_017_A01,2217265
F2S4_151223_017_B01,1609931
F2S4_151223_017_C01,1206844
F2S4_151223_017_D01,1519739
F2S4_151223_017_E01,1840651
F2S4_151223_017_F01,1454114
F2S4_151223_017_G01,1242367
F2S4_151223_017_H01,1195591
F2S4_151223_018_A01,1373128
F2S4_151223_018_B01,1364086
F2S4_151223_018_C01,1413743
F2S4_151223_018_D01,1634840
F2S4_151223_018_E01,1085772
F2S4_151223_018_F01,768884
F2S4_151223_018_G01,1235742
F2S4_151223_018_H01,1342042
F2S4_151223_007_A01,1196346
F2S4_151223_007_B01,1131393
F2S4_151223_007_C01,1217822
F2S4_151223_007_D01,1591033
F2S4_151223_007_E01,1683265
F2S4_151223_007_F01,1063010
F2S4_151223_007_G01,1107639
F2S4_151223_007_H01,1290863
F2S4_151223_008_A01,952380
F2S4_151223_008_B01,1156429
F2S4_151223_008_C01,1598813
F2S4_151223_008_D01,1308196
F2S4_151223_008_E01,1408541
F2S4_151223_008_F01,1314511
F2S4_151223_008_G01,1128133
F2S4_151223_008_H01,977254
F2S4_151223_014_A01,1472694
F2S4_151223_014_B01,1351242
F2S4_151223_014_C01,1185361
F2S4_151223_014_D01,1519967
F2S4_151223_014_E01,590596
F2S4_151223_014_F01,1197863
F2S4_151223_014_G01,975382
F2S4_151223_014_H01,1219394
F2S4_160113_005_A01,1494730
F2S4_160113_005_B01,1222447
F2S4_160113_005_C01,1181193
F2S4_160113_005_D01,1426597
F2S4_160113_005_E01,1157664
F2S4_160113_005_F01,1295006
F2S4_160113_005_G01,1159226
F2S4_160113_005_H01,973554
F2S4_160113_006_A01,1240849
F2S4_160113_006_B01,1156885
F2S4_160113_006_C01,1843174
F2S4_160113_006_D01,1198080
F2S4_160113_006_E01,1177369
F2S4_160113_006_F01,1666982
F2S4_160113_006_G01,1609445
F2S4_160113_006_H01,1305226
F2S4_160113_007_B01,689372
F2S4_160113_007_C01,1249353
F2S4_160113_007_D01,1712939
F2S4_160113_007_E01,1154275
F2S4_160113_007_F01,1206334
F2S4_160113_007_G01,1410993
F2S4_160113_007_H01,968567
F2S4_160113_008_A01,1000189
F2S4_160113_008_B01,658135
F2S4_160113_008_C01,614983
F2S4_160113_008_D01,1464178
F2S4_160113_008_E01,969773
F2S4_160113_008_F01,1085398
F2S4_160113_008_G01,1165478
F2S4_160113_008_H01,1365947
F2S4_160113_016_A01,1413327
F2S4_160113_016_B01,1023427
F2S4_160113_016_C01,1780086
F2S4_160113_016_D01,1568502
F2S4_160113_016_E01,1364034
F2S4_160113_016_F01,1454666
F2S4_160113_016_G01,1413450
F2S4_160113_016_H01,1165046
F2S4_160113_017_A01,1517612
F2S4_160113_017_C01,1641681
F2S4_160113_017_D01,761960
F2S4_160113_017_E01,1550742
F2S4_160113_017_F01,1148227
F2S4_160113_017_G01,1486909
F2S4_160113_017_H01,1158910
F2S4_160113_018_A01,1532048
F2S4_160113_018_B01,1429601
F2S4_160113_018_C01,1162400
F2S4_160113_018_D01,1454455
F2S4_160113_018_E01,1485397
F2S4_160113_018_F01,1306115
F2S4_160113_018_G01,1293874
F2S4_160113_018_H01,1384632
F2S4_160113_019_A01,1261677
F2S4_160113_019_B01,1377062
F2S4_160113_019_C01,1115818
F2S4_160113_019_D01,1388257
F2S4_160113_019_E01,1396517
F2S4_160113_019_F01,1191013
F2S4_160113_019_G01,1177758
F2S4_160113_019_H01,1121420
F2S4_160113_020_A01,1324116
F2S4_160113_020_B01,803464
F2S4_160113_020_C01,1170003
F2S4_160113_020_D01,1367139
F2S4_160113_020_E01,1389582
F2S4_160113_020_F01,1140163
F2S4_160113_020_G01,1121226
F2S4_160113_020_H01,1024853
F2S4_160113_021_A01,1243445
F2S4_160113_021_B01,1399668
F2S4_160113_021_C01,1216879
F2S4_160113_021_D01,1010467
F2S4_160113_021_E01,1294667
F2S4_160113_021_F01,1401551
F2S4_160113_021_G01,1183359
F2S4_160113_021_H01,1037247
F2S4_160113_022_A01,1699732
F2S4_160113_022_B01,465687
F2S4_160113_022_C01,1251290
F2S4_160113_022_D01,1344083
F2S4_160113_022_E01,537794
F2S4_160113_022_F01,1173876
F2S4_160113_022_G01,1017557
F2S4_160113_022_H01,1373369
F2S4_160115_017_A01,1165164
F2S4_160115_017_B01,1212518
